date,asset,price,volume
2010-10-01 00:00:00+00:00,Equity(0 [AMD]),7.05,27510600.0
2010-10-01 00:00:00+00:00,Equity(1 [TSLA]),4.12,2988500.0
2010-10-01 00:00:00+00:00,Equity(2 [BLK]),171.34,416400.0
2010-10-01 00:00:00+00:00,Equity(3 [MTCH]),7.493,2175092.0
2010-10-01 00:00:00+00:00,Equity(5 [MSFT]),24.38,62672300.0
2010-10-01 00:00:00+00:00,Equity(6 [GOOGL]),263.073,4445550.0
2010-10-01 00:00:00+00:00,Equity(7 [AAPL]),10.09,448142800.0
2010-10-04 00:00:00+00:00,Equity(0 [AMD]),6.94,23042400.0
2010-10-04 00:00:00+00:00,Equity(1 [TSLA]),4.198,3218000.0
2010-10-04 00:00:00+00:00,Equity(2 [BLK]),170.91,453400.0
2010-10-04 00:00:00+00:00,Equity(3 [MTCH]),7.49,2190151.0
2010-10-04 00:00:00+00:00,Equity(5 [MSFT]),23.91,98143400.0
2010-10-04 00:00:00+00:00,Equity(6 [GOOGL]),261.436,3877119.0
2010-10-04 00:00:00+00:00,Equity(7 [AAPL]),9.951,435302000.0
2010-10-05 00:00:00+00:00,Equity(0 [AMD]),6.98,36286400.0
2010-10-05 00:00:00+00:00,Equity(1 [TSLA]),4.224,1660000.0
2010-10-05 00:00:00+00:00,Equity(2 [BLK]),171.31,846400.0
2010-10-05 00:00:00+00:00,Equity(3 [MTCH]),7.67,2660469.0
2010-10-05 00:00:00+00:00,Equity(5 [MSFT]),24.35,78152900.0
2010-10-05 00:00:00+00:00,Equity(6 [GOOGL]),269.384,7007186.0
2010-10-05 00:00:00+00:00,Equity(7 [AAPL]),10.319,501967200.0
2010-10-06 00:00:00+00:00,Equity(0 [AMD]),6.86,23477400.0
2010-10-06 00:00:00+00:00,Equity(1 [TSLA]),4.092,1567000.0
2010-10-06 00:00:00+00:00,Equity(2 [BLK]),171.35,439900.0
2010-10-06 00:00:00+00:00,Equity(3 [MTCH]),7.499,4128858.0
2010-10-06 00:00:00+00:00,Equity(5 [MSFT]),24.43,50489700.0
2010-10-06 00:00:00+00:00,Equity(6 [GOOGL]),267.442,5519075.0
2010-10-06 00:00:00+00:00,Equity(7 [AAPL]),10.328,670868800.0
2010-10-07 00:00:00+00:00,Equity(0 [AMD]),6.87,21005600.0
2010-10-07 00:00:00+00:00,Equity(1 [TSLA]),4.086,705000.0
2010-10-07 00:00:00+00:00,Equity(2 [BLK]),170.95,306000.0
2010-10-07 00:00:00+00:00,Equity(3 [MTCH]),7.473,2431439.0
2010-10-07 00:00:00+00:00,Equity(5 [MSFT]),24.53,50096100.0
2010-10-07 00:00:00+00:00,Equity(6 [GOOGL]),265.27,4786808.0
2010-10-07 00:00:00+00:00,Equity(7 [AAPL]),10.329,408399600.0
2010-10-08 00:00:00+00:00,Equity(0 [AMD]),7.05,25394100.0
2010-10-08 00:00:00+00:00,Equity(1 [TSLA]),4.086,1339000.0
2010-10-08 00:00:00+00:00,Equity(2 [BLK]),174.5,406600.0
2010-10-08 00:00:00+00:00,Equity(3 [MTCH]),7.496,2540351.0
2010-10-08 00:00:00+00:00,Equity(5 [MSFT]),24.57,41327800.0
2010-10-08 00:00:00+00:00,Equity(6 [GOOGL]),268.443,5712682.0
2010-10-08 00:00:00+00:00,Equity(7 [AAPL]),10.502,658403200.0
2010-10-11 00:00:00+00:00,Equity(0 [AMD]),7.24,24687300.0
2010-10-11 00:00:00+00:00,Equity(1 [TSLA]),4.048,856000.0
2010-10-11 00:00:00+00:00,Equity(2 [BLK]),177.24,566900.0
2010-10-11 00:00:00+00:00,Equity(3 [MTCH]),7.604,3927143.0
2010-10-11 00:00:00+00:00,Equity(5 [MSFT]),24.59,27587800.0
2010-10-11 00:00:00+00:00,Equity(6 [GOOGL]),269.69,5247347.0
2010-10-11 00:00:00+00:00,Equity(7 [AAPL]),10.549,427753200.0
2010-10-12 00:00:00+00:00,Equity(0 [AMD]),7.3,27727500.0
2010-10-12 00:00:00+00:00,Equity(1 [TSLA]),4.048,1220000.0
2010-10-12 00:00:00+00:00,Equity(2 [BLK]),178.61,454000.0
2010-10-12 00:00:00+00:00,Equity(3 [MTCH]),7.45,4954630.0
2010-10-12 00:00:00+00:00,Equity(5 [MSFT]),24.83,50141500.0
2010-10-12 00:00:00+00:00,Equity(6 [GOOGL]),270.966,7499693.0
2010-10-12 00:00:00+00:00,Equity(7 [AAPL]),10.662,558544000.0
2010-10-13 00:00:00+00:00,Equity(0 [AMD]),7.22,32283000.0
2010-10-13 00:00:00+00:00,Equity(1 [TSLA]),4.108,1591000.0
2010-10-13 00:00:00+00:00,Equity(2 [BLK]),179.24,401600.0
2010-10-13 00:00:00+00:00,Equity(3 [MTCH]),7.39,4689178.0
2010-10-13 00:00:00+00:00,Equity(5 [MSFT]),25.34,75336500.0
2010-10-13 00:00:00+00:00,Equity(6 [GOOGL]),271.922,6105089.0
2010-10-13 00:00:00+00:00,Equity(7 [AAPL]),10.719,630092400.0
2010-10-14 00:00:00+00:00,Equity(0 [AMD]),7.14,36306700.0
2010-10-14 00:00:00+00:00,Equity(1 [TSLA]),4.15,1474000.0
2010-10-14 00:00:00+00:00,Equity(2 [BLK]),177.75,724500.0
2010-10-14 00:00:00+00:00,Equity(3 [MTCH]),7.307,3016623.0
2010-10-14 00:00:00+00:00,Equity(5 [MSFT]),25.23,51949100.0
2010-10-14 00:00:00+00:00,Equity(6 [GOOGL]),270.736,13254932.0
2010-10-14 00:00:00+00:00,Equity(7 [AAPL]),10.797,435296400.0
2010-10-15 00:00:00+00:00,Equity(0 [AMD]),7.12,37688100.0
2010-10-15 00:00:00+00:00,Equity(1 [TSLA]),4.108,1423500.0
2010-10-15 00:00:00+00:00,Equity(2 [BLK]),175.74,339600.0
2010-10-15 00:00:00+00:00,Equity(3 [MTCH]),7.222,5047783.0
2010-10-15 00:00:00+00:00,Equity(5 [MSFT]),25.54,68954800.0
2010-10-15 00:00:00+00:00,Equity(6 [GOOGL]),301.026,29619950.0
2010-10-15 00:00:00+00:00,Equity(7 [AAPL]),11.241,922194000.0
2010-10-18 00:00:00+00:00,Equity(0 [AMD]),6.96,26657500.0
2010-10-18 00:00:00+00:00,Equity(1 [TSLA]),4.046,814000.0
2010-10-18 00:00:00+00:00,Equity(2 [BLK]),176.5,447500.0
2010-10-18 00:00:00+00:00,Equity(3 [MTCH]),7.256,2532997.0
2010-10-18 00:00:00+00:00,Equity(5 [MSFT]),25.82,48330500.0
2010-10-18 00:00:00+00:00,Equity(6 [GOOGL]),309.164,14182204.0
2010-10-18 00:00:00+00:00,Equity(7 [AAPL]),11.357,1093010800.0
2010-10-19 00:00:00+00:00,Equity(0 [AMD]),6.95,39344200.0
2010-10-19 00:00:00+00:00,Equity(1 [TSLA]),4.01,1226000.0
2010-10-19 00:00:00+00:00,Equity(2 [BLK]),174.63,380800.0
2010-10-19 00:00:00+00:00,Equity(3 [MTCH]),7.267,3835390.0
2010-10-19 00:00:00+00:00,Equity(5 [MSFT]),25.1,66150900.0
2010-10-19 00:00:00+00:00,Equity(6 [GOOGL]),304.219,9166624.0
2010-10-19 00:00:00+00:00,Equity(7 [AAPL]),11.053,1232784000.0
2010-10-20 00:00:00+00:00,Equity(0 [AMD]),6.82,45596700.0
2010-10-20 00:00:00+00:00,Equity(1 [TSLA]),4.13,1562500.0
2010-10-20 00:00:00+00:00,Equity(2 [BLK]),169.51,1435400.0
2010-10-20 00:00:00+00:00,Equity(3 [MTCH]),7.273,1441073.0
2010-10-20 00:00:00+00:00,Equity(5 [MSFT]),25.31,56283600.0
2010-10-20 00:00:00+00:00,Equity(6 [GOOGL]),304.294,7043150.0
2010-10-20 00:00:00+00:00,Equity(7 [AAPL]),11.09,721624400.0
2010-10-21 00:00:00+00:00,Equity(0 [AMD]),6.89,23156100.0
2010-10-21 00:00:00+00:00,Equity(1 [TSLA]),4.15,2085500.0
2010-10-21 00:00:00+00:00,Equity(2 [BLK]),166.26,923300.0
2010-10-21 00:00:00+00:00,Equity(3 [MTCH]),7.373,2264043.0
2010-10-21 00:00:00+00:00,Equity(5 [MSFT]),25.42,50032400.0
2010-10-21 00:00:00+00:00,Equity(6 [GOOGL]),306.301,5835159.0
2010-10-21 00:00:00+00:00,Equity(7 [AAPL]),11.054,551460000.0
